========= Job started  at Wed Mar 25 11:16:22 CET 2026 ==========
My jobid: 4586711
My array id: 1
cuequivariance or cuequivariance_torch is not available. Cuequivariance acceleration will be disabled.
['Ni', 'Cu', 'Rh', 'Ir', 'Pd', 'Pt', 'Au', 'Ag']
CHGNet v0.3.0 initialized with 412,525 parameters
CHGNet will run on cuda
      Step     Time          Energy          fmax
BFGS:    0 11:16:32     -352.131897        2.350326
BFGS:    1 11:16:32     -352.841217        2.301844
BFGS:    2 11:16:32     -356.323730        2.037414
BFGS:    3 11:16:32     -357.933441        2.975410
BFGS:    4 11:16:32     -358.730621        3.067634
BFGS:    5 11:16:33     -360.523743        2.312152
BFGS:    6 11:16:33     -361.984894        1.699162
BFGS:    7 11:16:33     -363.092529        1.499996
BFGS:    8 11:16:33     -363.930878        1.190029
BFGS:    9 11:16:33     -364.707855        1.853420
BFGS:   10 11:16:33     -365.531952        2.014271
BFGS:   11 11:16:33     -366.324036        1.489220
BFGS:   12 11:16:33     -366.929199        0.921001
BFGS:   13 11:16:33     -367.379425        0.842035
BFGS:   14 11:16:33     -367.610443        0.921435
BFGS:   15 11:16:33     -367.971771        1.035854
BFGS:   16 11:16:33     -368.268402        0.606312
BFGS:   17 11:16:34     -368.414703        0.470905
BFGS:   18 11:16:34     -368.506531        0.522465
BFGS:   19 11:16:34     -368.598694        0.633553
BFGS:   20 11:16:34     -368.667847        0.470706
BFGS:   21 11:16:34     -368.722168        0.380955
BFGS:   22 11:16:34     -368.756744        0.319136
BFGS:   23 11:16:34     -368.796631        0.402352
BFGS:   24 11:16:34     -368.843658        0.415806
BFGS:   25 11:16:34     -368.887115        0.305183
BFGS:   26 11:16:34     -368.909637        0.196863
BFGS:   27 11:16:34     -368.926941        0.218231
BFGS:   28 11:16:34     -368.945129        0.308857
BFGS:   29 11:16:35     -368.966278        0.278437
BFGS:   30 11:16:35     -368.984558        0.165112
BFGS:   31 11:16:35     -368.997131        0.161754
BFGS:   32 11:16:35     -369.012909        0.226464
BFGS:   33 11:16:35     -369.032898        0.250537
BFGS:   34 11:16:35     -369.055054        0.213622
BFGS:   35 11:16:35     -369.071594        0.170272
BFGS:   36 11:16:35     -369.090179        0.153729
BFGS:   37 11:16:35     -369.113159        0.260109
BFGS:   38 11:16:35     -369.141998        0.311134
BFGS:   39 11:16:35     -369.173828        0.244841
BFGS:   40 11:16:35     -369.205933        0.248022
BFGS:   41 11:16:36     -369.239197        0.230712
BFGS:   42 11:16:36     -369.277222        0.354928
BFGS:   43 11:16:36     -369.334167        0.380362
BFGS:   44 11:16:36     -369.375854        0.260694
BFGS:   45 11:16:36     -369.407898        0.252933
BFGS:   46 11:16:36     -369.429657        0.215598
BFGS:   47 11:16:36     -369.457153        0.279551
BFGS:   48 11:16:36     -369.481110        0.228102
BFGS:   49 11:16:36     -369.501251        0.191699
BFGS:   50 11:16:36     -369.517181        0.167857
BFGS:   51 11:16:36     -369.532288        0.180967
BFGS:   52 11:16:36     -369.549408        0.186617
BFGS:   53 11:16:37     -369.559998        0.097028
BFGS:   54 11:16:37     -369.564423        0.067522
BFGS:   55 11:16:37     -369.567566        0.074979
BFGS:   56 11:16:37     -369.571106        0.093925
BFGS:   57 11:16:37     -369.574402        0.066652
BFGS:   58 11:16:37     -369.576447        0.053036
BFGS:   59 11:16:37     -369.577759        0.045630
      Step     Time          Energy          fmax
BFGS:    0 11:16:37     -355.931244        2.154824
BFGS:    1 11:16:37     -356.549957        2.124249
BFGS:    2 11:16:37     -359.993591        1.902839
BFGS:    3 11:16:37     -362.194641        1.584000
BFGS:    4 11:16:37     -362.968689        2.081532
BFGS:    5 11:16:37     -363.513763        1.675977
BFGS:    6 11:16:38     -365.044556        1.088035
BFGS:    7 11:16:38     -366.142731        1.063573
BFGS:    8 11:16:38     -366.809814        1.026009
BFGS:    9 11:16:38     -367.209900        1.122018
BFGS:   10 11:16:38     -367.820282        1.031372
BFGS:   11 11:16:38     -368.465698        0.890132
BFGS:   12 11:16:38     -369.039124        0.785735
BFGS:   13 11:16:38     -369.314819        0.719313
BFGS:   14 11:16:38     -369.537415        0.728640
BFGS:   15 11:16:38     -369.803619        0.606057
BFGS:   16 11:16:38     -369.986053        0.573604
BFGS:   17 11:16:38     -370.070282        0.469804
BFGS:   18 11:16:39     -370.146484        0.376211
BFGS:   19 11:16:39     -370.220703        0.352814
BFGS:   20 11:16:39     -370.274445        0.209851
BFGS:   21 11:16:39     -370.304718        0.207037
BFGS:   22 11:16:39     -370.323608        0.218637
BFGS:   23 11:16:39     -370.348358        0.214003
