========= Job started  at Wed Mar 25 11:16:22 CET 2026 ==========
My jobid: 4586713
My array id: 3
cuequivariance or cuequivariance_torch is not available. Cuequivariance acceleration will be disabled.
['Ni', 'Cu', 'Rh', 'Ir', 'Pd']
CHGNet v0.3.0 initialized with 412,525 parameters
CHGNet will run on cuda
      Step     Time          Energy          fmax
BFGS:    0 11:16:37     -394.537048        3.308229
BFGS:    1 11:16:37     -395.753876        3.283156
BFGS:    2 11:16:37     -400.587891        3.109762
BFGS:    3 11:16:38     -404.649475        2.862530
BFGS:    4 11:16:38     -407.488525        2.529297
BFGS:    5 11:16:38     -409.207275        2.207466
BFGS:    6 11:16:38     -410.669678        2.425298
BFGS:    7 11:16:38     -412.355255        2.646596
BFGS:    8 11:16:38     -414.230072        2.776708
BFGS:    9 11:16:38     -416.140594        2.718585
BFGS:   10 11:16:38     -417.951538        2.443746
BFGS:   11 11:16:38     -419.589752        2.153984
BFGS:   12 11:16:38     -421.014709        1.767656
BFGS:   13 11:16:38     -422.269714        1.530914
BFGS:   14 11:16:38     -423.372681        1.384694
BFGS:   15 11:16:38     -424.382629        1.246910
BFGS:   16 11:16:38     -425.361938        1.205679
BFGS:   17 11:16:39     -426.298584        1.387526
BFGS:   18 11:16:39     -427.331879        1.094030
BFGS:   19 11:16:39     -428.055603        0.919109
BFGS:   20 11:16:39     -428.560394        1.033954
BFGS:   21 11:16:39     -429.029572        0.881560
BFGS:   22 11:16:39     -429.342316        0.711080
BFGS:   23 11:16:39     -429.496857        0.426711
BFGS:   24 11:16:39     -429.587891        0.351773
BFGS:   25 11:16:39     -429.658630        0.322036
BFGS:   26 11:16:39     -429.738220        0.309630
BFGS:   27 11:16:39     -429.792664        0.289060
BFGS:   28 11:16:39     -429.828064        0.244170
BFGS:   29 11:16:40     -429.855988        0.287152
BFGS:   30 11:16:40     -429.892212        0.266987
BFGS:   31 11:16:40     -429.926147        0.185362
BFGS:   32 11:16:40     -429.958496        0.202619
BFGS:   33 11:16:40     -429.981262        0.216834
BFGS:   34 11:16:40     -430.008240        0.243200
BFGS:   35 11:16:40     -430.040009        0.251703
BFGS:   36 11:16:40     -430.071899        0.227056
BFGS:   37 11:16:40     -430.096191        0.193688
BFGS:   38 11:16:40     -430.125061        0.195033
BFGS:   39 11:16:40     -430.162567        0.234901
BFGS:   40 11:16:40     -430.212555        0.282387
BFGS:   41 11:16:40     -430.267578        0.328835
BFGS:   42 11:16:41     -430.318542        0.364211
BFGS:   43 11:16:41     -430.368317        0.325120
BFGS:   44 11:16:41     -430.441803        0.281398
BFGS:   45 11:16:41     -430.515717        0.288831
BFGS:   46 11:16:41     -430.579590        0.315649
BFGS:   47 11:16:41     -430.639984        0.366174
BFGS:   48 11:16:41     -430.697296        0.384028
BFGS:   49 11:16:41     -430.765808        0.292977
BFGS:   50 11:16:41     -430.841919        0.404940
BFGS:   51 11:16:41     -430.911682        0.429976
BFGS:   52 11:16:41     -430.959290        0.314510
BFGS:   53 11:16:41     -431.001434        0.194268
BFGS:   54 11:16:42     -431.040680        0.190485
BFGS:   55 11:16:42     -431.073792        0.257089
BFGS:   56 11:16:42     -431.098145        0.254850
BFGS:   57 11:16:42     -431.121094        0.196372
BFGS:   58 11:16:42     -431.148224        0.131741
BFGS:   59 11:16:42     -431.166168        0.114187
BFGS:   60 11:16:42     -431.178101        0.131025
BFGS:   61 11:16:42     -431.184265        0.097347
BFGS:   62 11:16:42     -431.191681        0.094929
BFGS:   63 11:16:42     -431.198761        0.090828
BFGS:   64 11:16:42     -431.203827        0.080723
BFGS:   65 11:16:42     -431.207031        0.081824
BFGS:   66 11:16:43     -431.210266        0.073089
BFGS:   67 11:16:43     -431.213562        0.049238
      Step     Time          Energy          fmax
BFGS:    0 11:16:43     -378.718597        3.066732
BFGS:    1 11:16:43     -380.151001        3.037819
BFGS:    2 11:16:43     -386.141205        2.826739
BFGS:    3 11:16:43     -390.091644        2.424317
BFGS:    4 11:16:43     -391.685852        3.909240
BFGS:    5 11:16:43     -393.285309        3.216452
BFGS:    6 11:16:43     -395.871185        1.962595
BFGS:    7 11:16:43     -397.736084        1.786635
BFGS:    8 11:16:43     -399.207764        1.618374
BFGS:    9 11:16:43     -400.367523        1.807077
BFGS:   10 11:16:43     -401.432251        2.131936
BFGS:   11 11:16:43     -402.521118        2.052105
BFGS:   12 11:16:44     -403.648468        1.878819
BFGS:   13 11:16:44     -404.791840        1.699019
BFGS:   14 11:16:44     -405.940125        1.421025
BFGS:   15 11:16:44     -406.967834        1.321883
BFGS:   16 11:16:44     -407.822662        1.224139
BFGS:   17 11:16:44     -408.608276        1.931877
BFGS:   18 11:16:44     -409.496033        1.962191
BFGS:   19 11:16:44     -410.286499        1.059325
BFGS:   20 11:16:44     -410.648895        0.861041
BFGS:   21 11:16:44     -410.975525        0.861458
BFGS:   22 11:16:44     -411.169067        0.836340
BFGS:   23 11:16:44     -411.367065        0.699611
BFGS:   24 11:16:45     -411.512939        0.409150
BFGS:   25 11:16:45     -411.596527        0.395402
BFGS:   26 11:16:45     -411.698456        0.524453
BFGS:   27 11:16:45     -411.796875        0.511208
BFGS:   28 11:16:45     -411.864319        0.400641
BFGS:   29 11:16:45     -411.913635        0.294481
BFGS:   30 11:16:45     -411.957550        0.326420
BFGS:   31 11:16:45     -412.001373        0.304289
BFGS:   32 11:16:45     -412.040131        0.285357
BFGS:   33 11:16:45     -412.076843        0.280077
BFGS:   34 11:16:45     -412.112518        0.285209
BFGS:   35 11:16:46     -412.158020        0.365618
BFGS:   36 11:16:46     -412.193604        0.314753
BFGS:   37 11:16:46     -412.224487        0.296018
BFGS:   38 11:16:46     -412.251984        0.240272
BFGS:   39 11:16:46     -412.285828        0.240814
BFGS:   40 11:16:46     -412.318115        0.276435
BFGS:   41 11:16:46     -412.346985        0.234071
BFGS:   42 11:16:46     -412.374237        0.238988
BFGS:   43 11:16:46     -412.408264        0.293651
BFGS:   44 11:16:46     -412.448669        0.277409
BFGS:   45 11:16:46     -412.489807        0.350470
BFGS:   46 11:16:46     -412.533783        0.324512
BFGS:   47 11:16:47     -412.578674        0.340570
BFGS:   48 11:16:47     -412.638733        0.405526
BFGS:   49 11:16:47     -412.703064        0.374051
BFGS:   50 11:16:47     -412.758118        0.290592
BFGS:   51 11:16:47     -412.798645        0.248382
BFGS:   52 11:16:47     -412.841003        0.322042
BFGS:   53 11:16:47     -412.897614        0.386316
BFGS:   54 11:16:47     -412.952332        0.415778
BFGS:   55 11:16:47     -412.993439        0.317068
BFGS:   56 11:16:47     -413.023010        0.221298
BFGS:   57 11:16:47     -413.056152        0.237618
BFGS:   58 11:16:47     -413.079437        0.244157
BFGS:   59 11:16:48     -413.099213        0.165842
BFGS:   60 11:16:48     -413.109253        0.142294
BFGS:   61 11:16:48     -413.117249        0.199306
BFGS:   62 11:16:48     -413.125732        0.188370
BFGS:   63 11:16:48     -413.134094        0.127160
BFGS:   64 11:16:48     -413.138947        0.091292
BFGS:   65 11:16:48     -413.142761        0.075383
BFGS:   66 11:16:48     -413.146576        0.101343
BFGS:   67 11:16:48     -413.150696        0.091356
BFGS:   68 11:16:48     -413.153259        0.050131
BFGS:   69 11:16:48     -413.154663        0.042618
      Step     Time          Energy          fmax
BFGS:    0 11:16:48     -390.721375        3.096872
BFGS:    1 11:16:49     -392.173157        3.063503
BFGS:    2 11:16:49     -398.129791        2.853338
BFGS:    3 11:16:49     -401.918823        2.439552
BFGS:    4 11:16:49     -403.192444        3.368123
BFGS:    5 11:16:49     -404.592163        3.008872
BFGS:    6 11:16:49     -406.995850        2.220363
BFGS:    7 11:16:49     -408.860077        1.723290
BFGS:    8 11:16:49     -410.295776        1.487303
BFGS:    9 11:16:49     -411.396545        1.358158
BFGS:   10 11:16:49     -412.309631        1.626068
BFGS:   11 11:16:49     -413.263153        1.821173
BFGS:   12 11:16:49     -414.321167        1.859491
BFGS:   13 11:16:49     -415.384705        1.711427
BFGS:   14 11:16:49     -416.383850        1.427008
BFGS:   15 11:16:50     -417.270691        1.100876
BFGS:   16 11:16:50     -418.029907        1.172538
BFGS:   17 11:16:50     -418.575867        1.150969
BFGS:   18 11:16:50     -419.473083        1.024767
BFGS:   19 11:16:50     -420.005005        0.975192
BFGS:   20 11:16:50     -420.442657        0.742069
BFGS:   21 11:16:50     -420.662689        0.670629
BFGS:   22 11:16:50     -420.820801        0.522083
BFGS:   23 11:16:50     -421.037659        0.705237
BFGS:   24 11:16:50     -421.172302        0.575228
BFGS:   25 11:16:50     -421.245117        0.333450
BFGS:   26 11:16:50     -421.288544        0.323932
BFGS:   27 11:16:51     -421.333801        0.330582
BFGS:   28 11:16:51     -421.385101        0.355063
BFGS:   29 11:16:51     -421.428741        0.311026
BFGS:   30 11:16:51     -421.468933        0.291090
BFGS:   31 11:16:51     -421.522278        0.311752
BFGS:   32 11:16:51     -421.591187        0.377147
BFGS:   33 11:16:51     -421.659149        0.410961
BFGS:   34 11:16:51     -421.726807        0.350093
BFGS:   35 11:16:51     -421.805878        0.345662
BFGS:   36 11:16:51     -421.891113        0.315942
BFGS:   37 11:16:51     -421.989685        0.353415
BFGS:   38 11:16:51     -422.087280        0.446287
BFGS:   39 11:16:51     -422.187134        0.514506
BFGS:   40 11:16:52     -422.283203        0.498352
BFGS:   41 11:16:52     -422.405121        0.413571
BFGS:   42 11:16:52     -422.511963        0.395454
BFGS:   43 11:16:52     -422.585266        0.373310
BFGS:   44 11:16:52     -422.668182        0.393873
BFGS:   45 11:16:52     -422.751160        0.312364
BFGS:   46 11:16:52     -422.854767        0.419212
BFGS:   47 11:16:52     -422.936310        0.430650
BFGS:   48 11:16:52     -423.010620        0.372834
BFGS:   49 11:16:52     -423.082397        0.369602
BFGS:   50 11:16:52     -423.149109        0.285046
BFGS:   51 11:16:52     -423.214783        0.350298
BFGS:   52 11:16:53     -423.253723        0.296936
BFGS:   53 11:16:53     -423.283691        0.196869
BFGS:   54 11:16:53     -423.313568        0.193573
BFGS:   55 11:16:53     -423.334991        0.141034
BFGS:   56 11:16:53     -423.348938        0.129254
BFGS:   57 11:16:53     -423.355347        0.107989
BFGS:   58 11:16:53     -423.361725        0.101066
BFGS:   59 11:16:53     -423.367157        0.083401
BFGS:   60 11:16:53     -423.372162        0.072880
BFGS:   61 11:16:53     -423.375214        0.076602
BFGS:   62 11:16:53     -423.378418        0.069777
BFGS:   63 11:16:53     -423.381897        0.082768
BFGS:   64 11:16:54     -423.385406        0.079085
BFGS:   65 11:16:54     -423.388336        0.073279
BFGS:   66 11:16:54     -423.391235        0.089667
BFGS:   67 11:16:54     -423.395081        0.094675
BFGS:   68 11:16:54     -423.400513        0.083658
BFGS:   69 11:16:54     -423.405518        0.090957
BFGS:   70 11:16:54     -423.409851        0.076170
BFGS:   71 11:16:54     -423.414215        0.091836
BFGS:   72 11:16:54     -423.419403        0.093724
BFGS:   73 11:16:54     -423.427490        0.092131
BFGS:   74 11:16:54     -423.434509        0.095591
BFGS:   75 11:16:54     -423.440887        0.107930
BFGS:   76 11:16:55     -423.447662        0.113368
BFGS:   77 11:16:55     -423.455292        0.113729
BFGS:   78 11:16:55     -423.463745        0.114025
BFGS:   79 11:16:55     -423.470184        0.108558
BFGS:   80 11:16:55     -423.478699        0.203745
BFGS:   81 11:16:55     -423.485901        0.202888
BFGS:   82 11:16:55     -423.515808        0.144574
BFGS:   83 11:16:55     -423.523560        0.208357
BFGS:   84 11:16:55     -423.427185        0.371919
BFGS:   85 11:16:55     -423.556000        0.131543
BFGS:   86 11:16:55     -423.563080        0.120257
BFGS:   87 11:16:55     -423.583466        0.150503
BFGS:   88 11:16:55     -423.595673        0.113396
BFGS:   89 11:16:56     -423.603363        0.142791
BFGS:   90 11:16:56     -423.609070        0.122162
BFGS:   91 11:16:56     -423.614624        0.086465
BFGS:   92 11:16:56     -423.621094        0.075276
BFGS:   93 11:16:56     -423.626495        0.075853
BFGS:   94 11:16:56     -423.630646        0.082453
BFGS:   95 11:16:56     -423.634796        0.088409
BFGS:   96 11:16:56     -423.640411        0.091601
BFGS:   97 11:16:56     -423.648193        0.119577
BFGS:   98 11:16:56     -423.656769        0.132353
BFGS:   99 11:16:56     -423.663055        0.119656
BFGS:  100 11:16:57     -423.669525        0.120438
BFGS:  101 11:16:57     -423.678955        0.099802
BFGS:  102 11:16:57     -423.686646        0.126783
BFGS:  103 11:16:57     -423.693207        0.087888
BFGS:  104 11:16:57     -423.698792        0.076929
BFGS:  105 11:16:57     -423.702850        0.079519
BFGS:  106 11:16:57     -423.708405        0.087564
BFGS:  107 11:16:57     -423.712097        0.066748
BFGS:  108 11:16:57     -423.714447        0.075757
BFGS:  109 11:16:57     -423.716064        0.074916
