========= Job started  at Wed Mar 25 11:22:39 CET 2026 ==========
My jobid: 4586853
My array id: 4
cuequivariance or cuequivariance_torch is not available. Cuequivariance acceleration will be disabled.
['Ni', 'Cu', 'Rh', 'Ir', 'Pd', 'Pt', 'Au', 'Ag']
Using float32 for MACECalculator, which is faster but less accurate. Recommended for MD. Use float64 for geometry optimization.
      Step     Time          Energy          fmax
BFGS:    0 11:23:01     -337.089844        2.420579
BFGS:    1 11:23:02     -337.584137        2.334313
BFGS:    2 11:23:03     -339.953705        1.344048
BFGS:    3 11:23:03     -341.037537        2.477671
BFGS:    4 11:23:04     -341.438110        2.263578
BFGS:    5 11:23:04     -343.566803        1.284216
BFGS:    6 11:23:05     -344.577179        1.298428
BFGS:    7 11:23:05     -345.034332        1.165150
BFGS:    8 11:23:05     -346.300598        1.899887
BFGS:    9 11:23:05     -347.341003        1.674981
BFGS:   10 11:23:05     -347.994720        0.885339
BFGS:   11 11:23:05     -348.484161        0.821211
BFGS:   12 11:23:05     -348.835663        1.128645
BFGS:   13 11:23:05     -349.556213        1.307027
BFGS:   14 11:23:05     -349.906708        0.813975
BFGS:   15 11:23:05     -350.152466        0.636997
BFGS:   16 11:23:05     -350.357025        0.715635
BFGS:   17 11:23:05     -350.526489        0.788332
BFGS:   18 11:23:05     -350.663330        0.524919
BFGS:   19 11:23:05     -350.757172        0.517374
BFGS:   20 11:23:06     -350.839539        0.402355
BFGS:   21 11:23:06     -350.930786        0.452407
BFGS:   22 11:23:06     -350.985321        0.256830
BFGS:   23 11:23:06     -351.014282        0.227821
BFGS:   24 11:23:06     -351.041656        0.217999
BFGS:   25 11:23:06     -351.072571        0.328202
BFGS:   26 11:23:06     -351.101105        0.283985
BFGS:   27 11:23:06     -351.122650        0.142116
BFGS:   28 11:23:06     -351.139008        0.169440
BFGS:   29 11:23:06     -351.156586        0.190998
BFGS:   30 11:23:06     -351.174561        0.182060
BFGS:   31 11:23:06     -351.186584        0.144875
BFGS:   32 11:23:06     -351.195221        0.128053
BFGS:   33 11:23:06     -351.204956        0.128324
BFGS:   34 11:23:06     -351.215302        0.146875
BFGS:   35 11:23:06     -351.224548        0.105538
BFGS:   36 11:23:06     -351.231262        0.118319
BFGS:   37 11:23:07     -351.236908        0.084900
BFGS:   38 11:23:07     -351.243469        0.103761
BFGS:   39 11:23:07     -351.250000        0.081876
BFGS:   40 11:23:07     -351.254944        0.081189
BFGS:   41 11:23:07     -351.259216        0.074967
BFGS:   42 11:23:07     -351.264099        0.052752
BFGS:   43 11:23:07     -351.269196        0.046683
      Step     Time          Energy          fmax
BFGS:    0 11:23:07     -338.896606        1.794344
BFGS:    1 11:23:07     -339.378448        1.743700
BFGS:    2 11:23:07     -342.403809        1.173831
BFGS:    3 11:23:07     -343.759888        1.231807
BFGS:    4 11:23:07     -344.022156        1.276127
BFGS:    5 11:23:07     -345.492371        0.837068
BFGS:    6 11:23:07     -346.216858        1.306672
BFGS:    7 11:23:07     -346.613403        1.248756
BFGS:    8 11:23:07     -347.425751        0.941330
BFGS:    9 11:23:07     -348.132904        0.946802
BFGS:   10 11:23:07     -349.033600        0.879260
BFGS:   11 11:23:08     -349.597504        0.926210
BFGS:   12 11:23:08     -349.961945        1.047102
BFGS:   13 11:23:08     -350.404449        0.835168
BFGS:   14 11:23:08     -350.841125        0.696221
BFGS:   15 11:23:08     -351.089233        0.440464
BFGS:   16 11:23:08     -351.199158        0.401268
BFGS:   17 11:23:08     -351.285248        0.358806
BFGS:   18 11:23:08     -351.375031        0.298359
BFGS:   19 11:23:08     -351.431976        0.317460
BFGS:   20 11:23:08     -351.466431        0.267554
BFGS:   21 11:23:08     -351.492767        0.179363
BFGS:   22 11:23:08     -351.517181        0.146375
BFGS:   23 11:23:08     -351.532990        0.133507
BFGS:   24 11:23:08     -351.542419        0.125398
BFGS:   25 11:23:08     -351.551971        0.099068
BFGS:   26 11:23:08     -351.563751        0.084104
BFGS:   27 11:23:08     -351.574036        0.087576
BFGS:   28 11:23:09     -351.581543        0.094749
BFGS:   29 11:23:09     -351.588074        0.091506
BFGS:   30 11:23:09     -351.595520        0.070521
BFGS:   31 11:23:09     -351.602539        0.067696
BFGS:   32 11:23:09     -351.607758        0.061658
BFGS:   33 11:23:09     -351.612244        0.067718
BFGS:   34 11:23:09     -351.617889        0.056699
BFGS:   35 11:23:09     -351.625122        0.056522
BFGS:   36 11:23:09     -351.632111        0.051507
BFGS:   37 11:23:09     -351.637878        0.058319
BFGS:   38 11:23:09     -351.643463        0.047518
      Step     Time          Energy          fmax
BFGS:    0 11:23:09     -361.025909        2.186180
BFGS:    1 11:23:09     -361.949799        2.109549
BFGS:    2 11:23:09     -366.235443        1.229138
BFGS:    3 11:23:09     -366.876404        2.114881
BFGS:    4 11:23:09     -367.463867        1.178015
BFGS:    5 11:23:09     -367.933624        0.917286
BFGS:    6 11:23:09     -369.356934        1.026038
BFGS:    7 11:23:10     -369.635986        1.200905
BFGS:    8 11:23:10     -370.311493        1.303313
BFGS:    9 11:23:10     -371.108307        1.115223
BFGS:   10 11:23:10     -371.594482        0.875384
BFGS:   11 11:23:10     -371.880066        0.853602
BFGS:   12 11:23:10     -372.312073        0.797796
BFGS:   13 11:23:10     -372.754730        0.694843
BFGS:   14 11:23:10     -373.167725        0.683276
BFGS:   15 11:23:10     -373.476959        0.599194
BFGS:   16 11:23:10     -373.686218        0.646084
BFGS:   17 11:23:10     -373.872894        0.542371
BFGS:   18 11:23:10     -374.055145        0.412998
BFGS:   19 11:23:10     -374.166626        0.365550
BFGS:   20 11:23:10     -374.233307        0.320940
BFGS:   21 11:23:10     -374.300873        0.295625
BFGS:   22 11:23:10     -374.376617        0.333037
BFGS:   23 11:23:10     -374.429718        0.285122
BFGS:   24 11:23:11     -374.462708        0.244267
BFGS:   25 11:23:11     -374.491119        0.177072
BFGS:   26 11:23:11     -374.521576        0.172036
BFGS:   27 11:23:11     -374.546967        0.169852
BFGS:   28 11:23:11     -374.563873        0.182983
BFGS:   29 11:23:11     -374.577972        0.142854
BFGS:   30 11:23:11     -374.595459        0.128130
BFGS:   31 11:23:11     -374.614105        0.148743
BFGS:   32 11:23:11     -374.629517        0.161944
BFGS:   33 11:23:11     -374.642548        0.154341
BFGS:   34 11:23:11     -374.657227        0.130842
BFGS:   35 11:23:11     -374.672913        0.104244
BFGS:   36 11:23:11     -374.684692        0.089179
BFGS:   37 11:23:11     -374.692139        0.080589
BFGS:   38 11:23:11     -374.698639        0.080309
BFGS:   39 11:23:11     -374.706573        0.078460
BFGS:   40 11:23:11     -374.715546        0.082293
BFGS:   41 11:23:11     -374.723206        0.082066
BFGS:   42 11:23:12     -374.730286        0.073214
BFGS:   43 11:23:12     -374.737793        0.073375
BFGS:   44 11:23:12     -374.744751        0.056191
BFGS:   45 11:23:12     -374.749756        0.054225
BFGS:   46 11:23:12     -374.753326        0.049912
      Step     Time          Energy          fmax
BFGS:    0 11:23:12     -314.875031        1.828061
BFGS:    1 11:23:12     -315.384583        1.762044
BFGS:    2 11:23:12     -318.198669        0.935771
BFGS:    3 11:23:12     -318.685333        2.214407
BFGS:    4 11:23:12     -319.023651        1.481675
BFGS:    5 11:23:12     -319.394684        1.025848
BFGS:    6 11:23:12     -320.372253        0.645155
BFGS:    7 11:23:12     -320.623474        0.713281
BFGS:    8 11:23:12     -320.783295        0.791476
BFGS:    9 11:23:12     -321.253052        0.818496
BFGS:   10 11:23:12     -321.571289        0.714259
BFGS:   11 11:23:12     -321.830872        0.675685
BFGS:   12 11:23:12     -322.022675        0.616745
BFGS:   13 11:23:13     -322.213257        0.641255
BFGS:   14 11:23:13     -322.413239        0.549784
BFGS:   15 11:23:13     -322.574066        0.360531
BFGS:   16 11:23:13     -322.677521        0.345254
BFGS:   17 11:23:13     -322.743774        0.314630
BFGS:   18 11:23:13     -322.825775        0.341676
BFGS:   19 11:23:13     -322.926575        0.289940
BFGS:   20 11:23:13     -322.997009        0.260322
BFGS:   21 11:23:13     -323.032715        0.256534
BFGS:   22 11:23:13     -323.059906        0.183612
BFGS:   23 11:23:13     -323.088928        0.157298
BFGS:   24 11:23:13     -323.111206        0.130470
BFGS:   25 11:23:13     -323.123993        0.110065
BFGS:   26 11:23:13     -323.133759        0.097760
BFGS:   27 11:23:13     -323.145569        0.092080
BFGS:   28 11:23:13     -323.156738        0.081973
BFGS:   29 11:23:13     -323.163544        0.070812
BFGS:   30 11:23:14     -323.167511        0.067077
BFGS:   31 11:23:14     -323.171478        0.061094
BFGS:   32 11:23:14     -323.176849        0.051755
BFGS:   33 11:23:14     -323.182190        0.072067
BFGS:   34 11:23:14     -323.186493        0.070060
BFGS:   35 11:23:14     -323.190796        0.060253
BFGS:   36 11:23:14     -323.196411        0.053327
BFGS:   37 11:23:14     -323.202576        0.052721
BFGS:   38 11:23:14     -323.207764        0.069900
BFGS:   39 11:23:14     -323.212006        0.061716
BFGS:   40 11:23:14     -323.216522        0.048999
      Step     Time          Energy          fmax
BFGS:    0 11:23:14     -336.985626        2.102096
BFGS:    1 11:23:14     -337.651337        2.060428
BFGS:    2 11:23:14     -341.341187        1.263631
BFGS:    3 11:23:14     -342.711670        2.110394
BFGS:    4 11:23:14     -343.081024        1.559806
BFGS:    5 11:23:14     -344.277435        0.851219
BFGS:    6 11:23:14     -345.834076        1.504123
BFGS:    7 11:23:15     -346.602722        2.215948
BFGS:    8 11:23:15     -347.345032        1.922202
BFGS:    9 11:23:15     -348.797058        1.375666
BFGS:   10 11:23:15     -349.691193        1.451158
BFGS:   11 11:23:15     -350.343079        1.996218
BFGS:   12 11:23:15     -350.974365        1.971938
BFGS:   13 11:23:15     -352.154846        1.520559
BFGS:   14 11:23:15     -352.704895        1.401385
BFGS:   15 11:23:15     -353.192200        1.226183
BFGS:   16 11:23:15     -353.479492        1.195864
BFGS:   17 11:23:15     -353.815308        1.288553
BFGS:   18 11:23:15     -354.115082        1.034988
BFGS:   19 11:23:15     -354.291260        0.566056
BFGS:   20 11:23:15     -354.392212        0.404346
BFGS:   21 11:23:15     -354.487274        0.573019
BFGS:   22 11:23:15     -354.555603        0.649118
BFGS:   23 11:23:15     -354.605347        0.484773
BFGS:   24 11:23:16     -354.641022        0.197654
BFGS:   25 11:23:16     -354.661896        0.185448
BFGS:   26 11:23:16     -354.680542        0.295375
BFGS:   27 11:23:16     -354.699371        0.299937
BFGS:   28 11:23:16     -354.716400        0.190659
BFGS:   29 11:23:16     -354.729065        0.122691
BFGS:   30 11:23:16     -354.738556        0.192122
BFGS:   31 11:23:16     -354.748260        0.230555
BFGS:   32 11:23:16     -354.758759        0.181933
BFGS:   33 11:23:16     -354.768097        0.098862
BFGS:   34 11:23:16     -354.776367        0.108703
BFGS:   35 11:23:16     -354.785858        0.181822
BFGS:   36 11:23:16     -354.797394        0.197474
BFGS:   37 11:23:16     -354.808258        0.129431
BFGS:   38 11:23:16     -354.815552        0.088709
BFGS:   39 11:23:16     -354.821320        0.102873
BFGS:   40 11:23:16     -354.827881        0.135305
BFGS:   41 11:23:16     -354.835114        0.107037
BFGS:   42 11:23:17     -354.841187        0.070296
BFGS:   43 11:23:17     -354.845734        0.072078
BFGS:   44 11:23:17     -354.850464        0.089809
BFGS:   45 11:23:17     -354.856537        0.100784
BFGS:   46 11:23:17     -354.862244        0.061558
BFGS:   47 11:23:17     -354.865814        0.049924
      Step     Time          Energy          fmax
BFGS:    0 11:23:17     -340.096283        2.350663
BFGS:    1 11:23:17     -340.946899        2.226652
BFGS:    2 11:23:17     -344.892700        1.303962
BFGS:    3 11:23:17     -345.787079        2.341131
BFGS:    4 11:23:17     -346.295624        1.171904
BFGS:    5 11:23:17     -346.700317        0.990403
BFGS:    6 11:23:17     -348.352264        0.863350
BFGS:    7 11:23:17     -348.843384        1.223152
BFGS:    8 11:23:17     -349.298340        1.283759
BFGS:    9 11:23:17     -350.351501        1.162623
BFGS:   10 11:23:17     -350.620148        0.760384
BFGS:   11 11:23:17     -350.870453        0.714962
BFGS:   12 11:23:18     -351.155121        0.626593
BFGS:   13 11:23:18     -351.420532        0.656059
BFGS:   14 11:23:18     -351.623383        0.713770
BFGS:   15 11:23:18     -351.806854        0.803373
BFGS:   16 11:23:18     -351.993713        0.667417
BFGS:   17 11:23:18     -352.136749        0.569152
BFGS:   18 11:23:18     -352.231384        0.344997
BFGS:   19 11:23:18     -352.293884        0.391936
BFGS:   20 11:23:18     -352.358612        0.369074
BFGS:   21 11:23:18     -352.423828        0.384940
BFGS:   22 11:23:18     -352.472809        0.330555
BFGS:   23 11:23:18     -352.507629        0.294678
BFGS:   24 11:23:18     -352.537231        0.244652
BFGS:   25 11:23:18     -352.561066        0.166102
BFGS:   26 11:23:18     -352.577515        0.153847
BFGS:   27 11:23:18     -352.589386        0.191715
BFGS:   28 11:23:18     -352.601196        0.177898
BFGS:   29 11:23:19     -352.613190        0.114028
BFGS:   30 11:23:19     -352.622650        0.126221
BFGS:   31 11:23:19     -352.629028        0.088374
BFGS:   32 11:23:19     -352.633972        0.072001
BFGS:   33 11:23:19     -352.638153        0.054088
BFGS:   34 11:23:19     -352.641388        0.052581
BFGS:   35 11:23:19     -352.644409        0.054978
BFGS:   36 11:23:19     -352.648132        0.051336
BFGS:   37 11:23:19     -352.652893        0.038266
      Step     Time          Energy          fmax
BFGS:    0 11:23:19     -330.871216        2.257733
BFGS:    1 11:23:19     -331.540405        2.174340
BFGS:    2 11:23:19     -334.857422        1.255057
BFGS:    3 11:23:19     -335.953125        2.081662
BFGS:    4 11:23:19     -336.239014        1.459803
BFGS:    5 11:23:19     -336.806000        0.766581
BFGS:    6 11:23:19     -337.872803        0.931336
BFGS:    7 11:23:19     -338.191711        1.096114
BFGS:    8 11:23:19     -338.704071        1.174679
BFGS:    9 11:23:20     -339.638092        1.206258
BFGS:   10 11:23:20     -340.185242        0.907961
BFGS:   11 11:23:20     -340.753723        1.065652
BFGS:   12 11:23:20     -341.094604        1.024592
BFGS:   13 11:23:20     -341.511871        0.830616
BFGS:   14 11:23:20     -341.967590        0.782111
BFGS:   15 11:23:20     -342.391296        0.715867
BFGS:   16 11:23:20     -342.638733        0.653790
BFGS:   17 11:23:20     -342.808594        0.591292
BFGS:   18 11:23:20     -343.000214        0.426205
BFGS:   19 11:23:20     -343.139526        0.305137
BFGS:   20 11:23:20     -343.223572        0.289376
BFGS:   21 11:23:20     -343.270020        0.251695
BFGS:   22 11:23:20     -343.329590        0.210978
BFGS:   23 11:23:20     -343.385437        0.194124
BFGS:   24 11:23:20     -343.422241        0.179808
BFGS:   25 11:23:20     -343.446747        0.205439
BFGS:   26 11:23:20     -343.472351        0.197446
BFGS:   27 11:23:21     -343.495605        0.142467
BFGS:   28 11:23:21     -343.509033        0.109883
BFGS:   29 11:23:21     -343.514893        0.085189
BFGS:   30 11:23:21     -343.519531        0.073697
BFGS:   31 11:23:21     -343.525391        0.069451
BFGS:   32 11:23:21     -343.530579        0.065148
BFGS:   33 11:23:21     -343.534119        0.057851
BFGS:   34 11:23:21     -343.537048        0.045830
      Step     Time          Energy          fmax
BFGS:    0 11:23:21     -322.214081        2.438751
BFGS:    1 11:23:21     -322.956940        2.354444
BFGS:    2 11:23:21     -326.362488        1.438912
BFGS:    3 11:23:21     -327.812531        1.721326
BFGS:    4 11:23:21     -328.134613        1.459069
BFGS:    5 11:23:21     -329.637695        1.257412
BFGS:    6 11:23:21     -330.013733        1.012692
BFGS:    7 11:23:21     -330.240692        0.958652
BFGS:    8 11:23:21     -330.822693        1.102720
BFGS:    9 11:23:21     -331.235413        1.041892
BFGS:   10 11:23:22     -331.611328        0.857994
BFGS:   11 11:23:22     -331.807861        0.795692
BFGS:   12 11:23:22     -332.152710        0.887793
BFGS:   13 11:23:22     -332.548981        0.683076
BFGS:   14 11:23:22     -332.824524        0.801265
BFGS:   15 11:23:22     -332.989807        0.678242
BFGS:   16 11:23:22     -333.191193        0.521638
BFGS:   17 11:23:22     -333.366730        0.521160
BFGS:   18 11:23:22     -333.503876        0.627291
BFGS:   19 11:23:22     -333.592377        0.570409
BFGS:   20 11:23:22     -333.665192        0.408766
BFGS:   21 11:23:22     -333.734833        0.379327
BFGS:   22 11:23:22     -333.789124        0.453956
BFGS:   23 11:23:22     -333.834106        0.406559
BFGS:   24 11:23:22     -333.873230        0.253650
BFGS:   25 11:23:22     -333.905365        0.243883
BFGS:   26 11:23:22     -333.931824        0.322703
BFGS:   27 11:23:23     -333.954926        0.346678
BFGS:   28 11:23:23     -333.975525        0.254693
BFGS:   29 11:23:23     -333.990723        0.149008
BFGS:   30 11:23:23     -334.001862        0.158083
BFGS:   31 11:23:23     -334.013123        0.195895
BFGS:   32 11:23:23     -334.026642        0.182433
BFGS:   33 11:23:23     -334.039001        0.137176
BFGS:   34 11:23:23     -334.046692        0.101742
BFGS:   35 11:23:23     -334.051147        0.085763
BFGS:   36 11:23:23     -334.055481        0.093106
BFGS:   37 11:23:23     -334.060944        0.070073
BFGS:   38 11:23:23     -334.066284        0.065057
BFGS:   39 11:23:23     -334.070923        0.058650
