========= Job started  at Wed Mar 25 11:37:38 CET 2026 ==========
My jobid: 4587072
My array id: 5
cuequivariance or cuequivariance_torch is not available. Cuequivariance acceleration will be disabled.
['Ag', 'Pt', 'Pd', 'Ir', 'Au']
Using float32 for MACECalculator, which is faster but less accurate. Recommended for MD. Use float64 for geometry optimization.
      Step     Time          Energy          fmax
BFGS:    0 11:42:52     -336.792969        2.167697
BFGS:    1 11:42:52     -337.469971        2.064344
BFGS:    2 11:42:54     -339.948090        0.870585
BFGS:    3 11:42:54     -340.063477        0.944253
BFGS:    4 11:42:55     -340.439789        0.768164
BFGS:    5 11:42:56     -340.758148        0.754382
BFGS:    6 11:42:56     -340.910309        0.668907
BFGS:    7 11:42:56     -341.082672        0.608573
BFGS:    8 11:42:56     -341.235748        0.555670
BFGS:    9 11:42:56     -341.381500        0.425611
BFGS:   10 11:42:56     -341.469604        0.407971
BFGS:   11 11:42:56     -341.548187        0.480078
BFGS:   12 11:42:56     -341.644623        0.487983
BFGS:   13 11:42:56     -341.723389        0.346601
BFGS:   14 11:42:56     -341.775421        0.321681
BFGS:   15 11:42:56     -341.811554        0.289534
BFGS:   16 11:42:56     -341.844971        0.300519
BFGS:   17 11:42:56     -341.876740        0.200650
BFGS:   18 11:42:56     -341.895355        0.156090
BFGS:   19 11:42:56     -341.905426        0.110403
BFGS:   20 11:42:56     -341.915100        0.136578
BFGS:   21 11:42:57     -341.925720        0.122890
BFGS:   22 11:42:57     -341.933868        0.134178
BFGS:   23 11:42:57     -341.939240        0.090263
BFGS:   24 11:42:57     -341.943512        0.086053
BFGS:   25 11:42:57     -341.947784        0.058598
BFGS:   26 11:42:57     -341.950897        0.051569
BFGS:   27 11:42:57     -341.953003        0.045511
      Step     Time          Energy          fmax
BFGS:    0 11:42:57     -375.474670        2.275216
BFGS:    1 11:42:57     -376.293823        2.126499
BFGS:    2 11:42:57     -379.529785        1.109487
BFGS:    3 11:42:57     -379.833557        1.587780
BFGS:    4 11:42:57     -380.068481        1.345026
BFGS:    5 11:42:57     -381.147705        0.600649
BFGS:    6 11:42:57     -381.312988        0.674895
BFGS:    7 11:42:57     -381.472961        0.569036
BFGS:    8 11:42:57     -381.769470        0.408292
BFGS:    9 11:42:57     -381.917297        0.468348
BFGS:   10 11:42:58     -382.056824        0.593375
BFGS:   11 11:42:58     -382.157104        0.506988
BFGS:   12 11:42:58     -382.274719        0.274970
BFGS:   13 11:42:58     -382.357758        0.247563
BFGS:   14 11:42:58     -382.409546        0.437589
BFGS:   15 11:42:58     -382.452972        0.467754
BFGS:   16 11:42:58     -382.507507        0.320289
BFGS:   17 11:42:58     -382.549347        0.180035
BFGS:   18 11:42:58     -382.574585        0.186796
BFGS:   19 11:42:58     -382.591644        0.197374
BFGS:   20 11:42:58     -382.608093        0.166580
BFGS:   21 11:42:58     -382.621826        0.090877
BFGS:   22 11:42:58     -382.630890        0.098055
BFGS:   23 11:42:58     -382.638763        0.087524
BFGS:   24 11:42:58     -382.648468        0.073015
BFGS:   25 11:42:58     -382.657898        0.072147
BFGS:   26 11:42:58     -382.664215        0.057367
BFGS:   27 11:42:59     -382.667908        0.057471
BFGS:   28 11:42:59     -382.671509        0.046484
      Step     Time          Energy          fmax
BFGS:    0 11:42:59     -347.861969        2.467698
BFGS:    1 11:42:59     -348.659943        2.346430
BFGS:    2 11:42:59     -351.375610        0.788566
BFGS:    3 11:42:59     -351.492401        1.230927
BFGS:    4 11:42:59     -351.675934        1.142716
BFGS:    5 11:42:59     -352.276428        0.774983
BFGS:    6 11:42:59     -352.360138        0.599419
BFGS:    7 11:42:59     -352.544373        0.591089
BFGS:    8 11:42:59     -352.726624        0.447906
BFGS:    9 11:42:59     -352.838593        0.536312
BFGS:   10 11:42:59     -352.934296        0.609888
BFGS:   11 11:42:59     -353.028656        0.519568
BFGS:   12 11:42:59     -353.108429        0.373981
BFGS:   13 11:42:59     -353.168823        0.223148
BFGS:   14 11:42:59     -353.196869        0.176726
BFGS:   15 11:43:00     -353.217682        0.190038
BFGS:   16 11:43:00     -353.243011        0.223401
BFGS:   17 11:43:00     -353.267456        0.210189
BFGS:   18 11:43:00     -353.284241        0.139978
BFGS:   19 11:43:00     -353.295959        0.122899
BFGS:   20 11:43:00     -353.308167        0.118798
BFGS:   21 11:43:00     -353.321381        0.166595
BFGS:   22 11:43:00     -353.331024        0.126796
BFGS:   23 11:43:00     -353.336853        0.087913
BFGS:   24 11:43:00     -353.341766        0.074186
BFGS:   25 11:43:00     -353.347168        0.088254
BFGS:   26 11:43:00     -353.351654        0.071571
BFGS:   27 11:43:00     -353.354706        0.046354
      Step     Time          Energy          fmax
BFGS:    0 11:43:00     -318.370056        1.380901
BFGS:    1 11:43:00     -318.778717        1.263842
BFGS:    2 11:43:00     -320.254272        1.221211
BFGS:    3 11:43:00     -320.463013        0.786907
BFGS:    4 11:43:01     -320.588989        0.692133
BFGS:    5 11:43:01     -321.149963        0.464505
BFGS:    6 11:43:01     -321.194366        0.343450
BFGS:    7 11:43:01     -321.282593        0.208211
BFGS:    8 11:43:01     -321.370026        0.367481
BFGS:    9 11:43:01     -321.417786        0.313052
BFGS:   10 11:43:01     -321.450470        0.246517
BFGS:   11 11:43:01     -321.486023        0.202994
BFGS:   12 11:43:01     -321.527557        0.245107
BFGS:   13 11:43:01     -321.556061        0.257517
BFGS:   14 11:43:01     -321.572113        0.172050
BFGS:   15 11:43:01     -321.585846        0.123732
BFGS:   16 11:43:01     -321.602112        0.121565
BFGS:   17 11:43:01     -321.616547        0.180545
BFGS:   18 11:43:01     -321.626923        0.160167
BFGS:   19 11:43:01     -321.636353        0.097276
BFGS:   20 11:43:01     -321.647369        0.086310
BFGS:   21 11:43:02     -321.657440        0.088112
BFGS:   22 11:43:02     -321.663177        0.083549
BFGS:   23 11:43:02     -321.666473        0.084882
BFGS:   24 11:43:02     -321.669830        0.076383
BFGS:   25 11:43:02     -321.673859        0.052850
BFGS:   26 11:43:02     -321.677063        0.056980
BFGS:   27 11:43:02     -321.679077        0.037921
      Step     Time          Energy          fmax
BFGS:    0 11:43:02     -354.770264        1.232799
BFGS:    1 11:43:02     -355.128357        1.145260
BFGS:    2 11:43:02     -356.733398        1.109916
BFGS:    3 11:43:02     -356.907593        0.771251
BFGS:    4 11:43:02     -357.060303        0.642468
BFGS:    5 11:43:02     -357.931702        0.597890
BFGS:    6 11:43:02     -358.157104        0.596793
BFGS:    7 11:43:02     -358.422119        0.587490
BFGS:    8 11:43:02     -358.583984        0.517849
BFGS:    9 11:43:03     -358.829590        0.414023
BFGS:   10 11:43:03     -358.934875        0.428368
BFGS:   11 11:43:03     -359.019104        0.368990
BFGS:   12 11:43:03     -359.096313        0.335060
BFGS:   13 11:43:03     -359.180847        0.262283
BFGS:   14 11:43:03     -359.227936        0.244607
BFGS:   15 11:43:03     -359.256104        0.244293
BFGS:   16 11:43:03     -359.281982        0.178637
BFGS:   17 11:43:03     -359.308136        0.145842
BFGS:   18 11:43:03     -359.326721        0.148963
BFGS:   19 11:43:03     -359.337830        0.161498
BFGS:   20 11:43:03     -359.347137        0.114028
BFGS:   21 11:43:03     -359.356384        0.083337
BFGS:   22 11:43:03     -359.362946        0.069353
BFGS:   23 11:43:03     -359.366821        0.077499
BFGS:   24 11:43:03     -359.369934        0.057721
BFGS:   25 11:43:03     -359.372955        0.035121
      Step     Time          Energy          fmax
BFGS:    0 11:43:04     -317.194183        1.289496
BFGS:    1 11:43:04     -317.465240        1.191529
BFGS:    2 11:43:04     -318.478363        1.151565
BFGS:    3 11:43:04     -318.616974        0.725791
BFGS:    4 11:43:04     -318.715118        0.603073
BFGS:    5 11:43:04     -319.133362        0.404739
BFGS:    6 11:43:04     -319.176025        0.372865
BFGS:    7 11:43:04     -319.295685        0.299850
BFGS:    8 11:43:04     -319.354858        0.359141
BFGS:    9 11:43:04     -319.424652        0.313250
BFGS:   10 11:43:04     -319.457062        0.260186
BFGS:   11 11:43:04     -319.502777        0.255581
BFGS:   12 11:43:04     -319.544647        0.186438
BFGS:   13 11:43:04     -319.575745        0.180638
BFGS:   14 11:43:04     -319.594788        0.167703
BFGS:   15 11:43:04     -319.614838        0.202048
BFGS:   16 11:43:04     -319.637451        0.167334
BFGS:   17 11:43:05     -319.655670        0.125638
BFGS:   18 11:43:05     -319.666534        0.121438
BFGS:   19 11:43:05     -319.674438        0.119699
BFGS:   20 11:43:05     -319.683044        0.097555
BFGS:   21 11:43:05     -319.690704        0.068737
BFGS:   22 11:43:05     -319.695282        0.052879
BFGS:   23 11:43:05     -319.698181        0.055406
BFGS:   24 11:43:05     -319.701263        0.055218
BFGS:   25 11:43:05     -319.704315        0.037530
      Step     Time          Energy          fmax
BFGS:    0 11:43:05     -357.027008        1.921409
BFGS:    1 11:43:05     -357.754456        1.785028
BFGS:    2 11:43:05     -360.573669        0.661824
BFGS:    3 11:43:05     -360.672363        0.592343
BFGS:    4 11:43:05     -361.297638        0.529368
BFGS:    5 11:43:05     -361.503937        0.622006
BFGS:    6 11:43:05     -361.614227        0.586834
BFGS:    7 11:43:05     -362.021088        0.726334
BFGS:    8 11:43:06     -362.157867        0.693276
BFGS:    9 11:43:06     -362.354614        0.549190
BFGS:   10 11:43:06     -362.480469        0.473492
