========= Job started  at Wed Mar 25 11:38:56 CET 2026 ==========
My jobid: 4586710
My array id: 6
cuequivariance or cuequivariance_torch is not available. Cuequivariance acceleration will be disabled.
['Ni', 'Cu', 'Rh', 'Ir', 'Pd']
Using float32 for MACECalculator, which is faster but less accurate. Recommended for MD. Use float64 for geometry optimization.
      Step     Time          Energy          fmax
BFGS:    0 11:39:12     -380.923157        2.514973
BFGS:    1 11:39:12     -381.708374        2.440106
BFGS:    2 11:39:13     -385.673340        1.750664
BFGS:    3 11:39:13     -388.459229        1.139236
BFGS:    4 11:39:13     -389.535034        1.981531
BFGS:    5 11:39:14     -390.158142        1.661417
BFGS:    6 11:39:14     -393.596191        1.314805
BFGS:    7 11:39:15     -395.717651        1.537917
BFGS:    8 11:39:15     -396.924591        1.671757
BFGS:    9 11:39:15     -397.786865        1.606946
BFGS:   10 11:39:15     -399.818604        1.862878
BFGS:   11 11:39:15     -401.421021        1.469756
BFGS:   12 11:39:15     -402.397095        1.798406
BFGS:   13 11:39:15     -403.399872        1.966832
BFGS:   14 11:39:15     -404.198029        1.139128
BFGS:   15 11:39:15     -404.999695        1.403469
BFGS:   16 11:39:15     -405.639099        1.537560
BFGS:   17 11:39:15     -406.104889        1.450894
BFGS:   18 11:39:15     -406.644104        1.113328
BFGS:   19 11:39:15     -407.023163        0.839168
BFGS:   20 11:39:15     -407.235504        0.683043
BFGS:   21 11:39:15     -407.397430        0.785245
BFGS:   22 11:39:15     -407.601807        0.643347
BFGS:   23 11:39:15     -407.747772        0.547373
BFGS:   24 11:39:15     -407.870392        0.404654
BFGS:   25 11:39:16     -407.975037        0.479826
BFGS:   26 11:39:16     -408.100006        0.467305
BFGS:   27 11:39:16     -408.228210        0.415166
BFGS:   28 11:39:16     -408.341339        0.450830
BFGS:   29 11:39:16     -408.443176        0.477020
BFGS:   30 11:39:16     -408.547363        0.597370
BFGS:   31 11:39:16     -408.670197        0.488911
BFGS:   32 11:39:16     -408.784760        0.430039
BFGS:   33 11:39:16     -408.878571        0.340880
BFGS:   34 11:39:16     -408.960327        0.485413
BFGS:   35 11:39:16     -409.048645        0.498959
BFGS:   36 11:39:16     -409.129639        0.415861
BFGS:   37 11:39:16     -409.190796        0.318835
BFGS:   38 11:39:16     -409.235046        0.334933
BFGS:   39 11:39:16     -409.274902        0.322118
BFGS:   40 11:39:16     -409.306122        0.248842
BFGS:   41 11:39:16     -409.331512        0.192333
BFGS:   42 11:39:16     -409.352386        0.231624
BFGS:   43 11:39:16     -409.378326        0.264043
BFGS:   44 11:39:17     -409.411377        0.198368
BFGS:   45 11:39:17     -409.438843        0.173331
BFGS:   46 11:39:17     -409.460632        0.244727
BFGS:   47 11:39:17     -409.482544        0.302781
BFGS:   48 11:39:17     -409.507507        0.257026
BFGS:   49 11:39:17     -409.529510        0.162715
BFGS:   50 11:39:17     -409.547028        0.163616
